P,N,E,N,C
17.02.02.I,7229432.895,2685966.808,706.556999,Pink/White
17.02.02.J,7229403.582,2685966.808,706.416515,Pink/White
17.02.02.K,7229374.27,2685966.808,706.276036,Pink/Orange
17.02.02.L,7229344.957,2685966.808,706.135551,Pink/Orange
17.02.03.A,7229668.625,2685984.808,707.64292,Yellow/Orange
17.02.03.B,7229639.312,2685984.808,707.51341,Yellow/White
17.02.03.C,7229609.999,2685984.808,707.3839,Yellow/White
17.02.03.D,7229580.687,2685984.808,707.254395,Red/White
17.02.03.E,7229551.374,2685984.808,707.124885,Yellow/White
17.02.03.F,7229522.061,2685984.808,706.995375,Yellow/White
17.02.03.G,7229494.182,2685984.808,706.872201,Blue/White
17.02.03.H,7229462.208,2685984.808,706.730934,Yellow/White
17.02.03.I,7229432.895,2685984.808,706.601425,Yellow/White
17.02.03.J,7229403.582,2685984.808,706.471915,Yellow/White
17.02.03.K,7229374.27,2685984.808,706.342409,Yellow/White
17.02.03.L,7229344.957,2685984.808,706.2129,Yellow/Orange
17.02.04.A,7229668.625,2686002.808,707.8483,Yellow/Orange
17.02.04.B,7229639.312,2686002.808,707.729912,Yellow/White
17.02.04.C,7229609.999,2686002.808,707.611523,Yellow/White
17.02.04.D,7229580.687,2686002.808,707.493139,Red/White
17.02.04.E,7229551.374,2686002.808,707.37475,Yellow/White
17.02.04.F,7229522.061,2686002.808,707.256362,Yellow/White
17.02.04.G,7229494.182,2686002.808,707.143765,Blue/White
17.02.04.H,7229462.208,2686002.808,707.014629,Yellow/White
17.02.04.I,7229432.895,2686002.808,706.896241,Yellow/White
17.02.04.J,7229403.582,2686002.808,706.777852,Yellow/White
17.02.04.K,7229374.27,2686002.808,706.659468,Yellow/White
17.02.04.L,7229344.957,2686002.808,706.541079,Yellow/Orange
17.02.05.A,7229668.625,2686020.808,707.8896,Yellow/Orange
17.02.05.B,7229639.312,2686020.808,707.784274,Yellow/White
17.02.05.C,7229609.999,2686020.808,707.678948,Yellow/White
17.02.05.D,7229580.687,2686020.808,707.573626,Red/White
17.02.05.E,7229551.374,2686020.808,707.4683,Yellow/White
17.02.05.F,7229522.061,2686020.808,707.362974,Yellow/White
17.02.05.G,7229494.182,2686020.808,707.262801,Blue/White
17.02.05.H,7229462.208,2686020.808,707.147914,Yellow/White
17.02.05.I,7229432.895,2686020.808,707.042588,Yellow/White
17.02.05.J,7229403.582,2686020.808,706.937262,Yellow/White
17.02.05.K,7229374.27,2686020.808,706.83194,Yellow/White
17.02.05.L,7229344.957,2686020.808,706.726614,Yellow/Orange
17.02.06.A,7229668.625,2686038.808,708.226608,Yellow/Orange
17.02.06.B,7229639.312,2686038.808,708.14011,Yellow/White
17.02.06.C,7229609.999,2686038.808,708.053611,Yellow/White
17.02.06.D,7229580.687,2686038.808,707.967115,Red/White
17.02.06.E,7229551.374,2686038.808,707.880616,Yellow/White
17.02.06.F,7229522.061,2686038.808,707.794117,Yellow/White
17.02.06.G,7229494.182,2686038.808,707.71185,Blue/White
17.02.06.H,7229462.208,2686038.808,707.617499,Yellow/White
17.02.06.I,7229432.895,2686038.808,707.531,Yellow/White
17.02.06.J,7229403.582,2686038.808,707.444501,Yellow/White
17.02.06.K,7229374.27,2686038.808,707.358005,Yellow/White
17.02.06.L,7229344.957,2686038.808,707.271507,Yellow/Orange
17.02.07.A,7229668.625,2686056.808,708.292324,Yellow/Orange
17.02.07.B,7229639.312,2686056.808,708.214445,Yellow/White
17.02.07.C,7229609.999,2686056.808,708.136565,Yellow/White
17.02.07.D,7229580.687,2686056.808,708.058689,Yellow/White
17.02.07.E,7229551.374,2686056.808,707.98081,Yellow/White
17.02.07.F,7229522.061,2686056.808,707.902931,Yellow/White
17.02.07.G,7229494.182,2686056.808,707.828862,Green/White
17.02.07.H,7229462.208,2686056.808,707.743913,Yellow/White
17.02.07.I,7229432.895,2686056.808,707.666034,Yellow/White
17.02.07.J,7229403.582,2686056.808,707.588155,Yellow/White
17.02.07.K,7229374.27,2686056.808,707.510279,Yellow/White
17.02.07.L,7229344.957,2686056.808,707.4324,Yellow/Orange
17.02.08.A,7229668.625,2686074.808,708.092079,Yellow/Orange
17.02.08.B,7229639.312,2686074.808,708.042986,Yellow/White
17.02.08.C,7229609.999,2686074.808,707.993892,Yellow/White
17.02.08.D,7229580.687,2686074.808,707.9448,Yellow/White
17.02.08.E,7229551.374,2686074.808,707.895707,Yellow/White
17.02.08.F,7229522.061,2686074.808,707.846614,Yellow/White
17.02.08.G,7229494.182,2686074.808,707.799922,Green/White
17.02.08.H,7229462.208,2686074.808,707.746372,Yellow/White
17.02.08.I,7229432.895,2686074.808,707.697279,Yellow/White
17.02.08.J,7229403.582,2686074.808,707.648185,Yellow/White
17.02.08.K,7229374.27,2686074.808,707.599094,Yellow/White
17.02.08.L,7229344.957,2686074.808,707.55,Yellow/Orange
17.02.09.A,7229668.625,2686092.808,708.359953,Yellow/Orange
17.02.09.B,7229639.312,2686092.808,708.310156,Yellow/White
17.02.09.C,7229609.999,2686092.808,708.260358,Yellow/White
17.02.09.D,7229580.687,2686092.808,708.210563,Yellow/White
17.02.09.E,7229551.374,2686092.808,708.160765,Yellow/White
17.02.09.F,7229522.061,2686092.808,708.110968,Yellow/White
17.02.09.G,7229494.182,2686092.808,708.063606,Green/White
17.02.09.H,7229462.208,2686092.808,708.009288,Yellow/White
17.02.09.I,7229432.895,2686092.808,707.95949,Yellow/White
17.02.09.J,7229403.582,2686092.808,707.909693,Yellow/White
17.02.09.K,7229374.27,2686092.808,707.859897,Yellow/White
17.02.09.L,7229344.957,2686092.808,707.8101,Yellow/Orange
17.02.10.A,7229668.625,2686110.808,708.5761,Yellow/Orange
17.02.10.B,7229639.312,2686110.808,708.524647,Yellow/White
17.02.10.C,7229609.999,2686110.808,708.473195,Yellow/White
17.02.10.D,7229580.687,2686110.808,708.421744,Yellow/White
17.02.10.E,7229551.374,2686110.808,708.370292,Yellow/White
17.02.10.F,7229522.061,2686110.808,708.31884,Yellow/White
17.02.10.G,7229494.182,2686110.808,708.269904,Blue/White
17.02.10.H,7229462.208,2686110.808,708.213781,Yellow/White
17.02.10.I,7229432.895,2686110.808,708.162329,Yellow/White
17.02.10.J,7229403.582,2686110.808,708.110876,Yellow/White
17.02.10.K,7229374.27,2686110.808,708.059426,Yellow/White
17.02.10.L,7229344.957,2686110.808,708.007973,Yellow/Orange
17.02.11.A,7229668.625,2686128.808,708.8328,Yellow/Orange
17.02.11.B,7229639.312,2686128.808,708.77782,Yellow/White
17.02.11.C,7229609.999,2686128.808,708.722841,Yellow/White
17.02.11.D,7229580.687,2686128.808,708.667863,Yellow/White
17.02.11.E,7229551.374,2686128.808,708.612884,Yellow/White
17.02.11.F,7229522.061,2686128.808,708.557904,Yellow/White
17.02.11.G,7229494.182,2686128.808,708.505614,Blue/White
17.02.11.H,7229462.208,2686128.808,708.445643,Yellow/White
17.02.11.I,7229432.895,2686128.808,708.390664,Yellow/White
17.02.11.J,7229403.582,2686128.808,708.335684,Yellow/White
17.02.11.K,7229374.27,2686128.808,708.280707,Yellow/White
17.02.11.L,7229344.957,2686128.808,708.225727,Yellow/Orange
17.02.12.A,7229668.625,2686146.808,709.0575,Yellow/Orange
17.02.12.B,7229639.312,2686146.808,708.999647,Yellow/White
17.02.12.C,7229609.999,2686146.808,708.941794,Yellow/White
17.02.12.D,7229580.687,2686146.808,708.883943,Yellow/White
17.02.12.E,7229551.374,2686146.808,708.82609,Yellow/White
17.02.12.F,7229522.061,2686146.808,708.768237,Yellow/White
17.02.12.G,7229494.182,2686146.808,708.713214,Green/White
17.02.12.H,7229462.208,2686146.808,708.65011,Yellow/White
17.02.12.I,7229432.895,2686146.808,708.592257,Yellow/White
17.02.12.J,7229403.582,2686146.808,708.534404,Yellow/White
17.02.12.K,7229374.27,2686146.808,708.476553,Yellow/White
17.02.12.L,7229344.957,2686146.808,708.4187,Yellow/Orange
17.02.13.A,7229668.625,2686164.808,709.0907,Yellow/Orange
17.02.13.B,7229639.312,2686164.808,709.042266,Yellow/White
17.02.13.C,7229609.999,2686164.808,708.993831,Yellow/White
17.02.13.D,7229580.687,2686164.808,708.945398,Yellow/White
17.02.13.E,7229551.374,2686164.808,708.896964,Yellow/White
17.02.13.F,7229522.061,2686164.808,708.84853,Yellow/White
17.02.13.G,7229494.182,2686164.808,708.802465,Green/White
17.02.13.H,7229462.208,2686164.808,708.749633,Yellow/White
17.02.13.I,7229432.895,2686164.808,708.701199,Yellow/White
17.02.13.J,7229403.582,2686164.808,708.652764,Yellow/White
17.02.13.K,7229374.27,2686164.808,708.604332,Red/White
17.02.13.L,7229344.957,2686164.808,708.555897,Yellow/Orange
17.02.14.A,7229668.625,2686182.808,709.252733,Red/Orange
17.02.14.B,7229639.312,2686182.808,709.2162,Yellow/White
17.02.14.C,7229609.999,2686182.808,709.179667,Yellow/White
17.02.14.D,7229580.687,2686182.808,709.143135,Yellow/White
17.02.14.E,7229551.374,2686182.808,709.106602,Yellow/White
17.02.14.F,7229522.061,2686182.808,709.070069,Yellow/White
17.02.14.G,7229494.182,2686182.808,709.035323,Green/White
17.02.14.H,7229462.208,2686182.808,708.995474,Yellow/White
17.02.14.I,7229432.895,2686182.808,708.95894,Yellow/White
17.02.14.J,7229403.582,2686182.808,708.922407,Yellow/White
17.02.14.K,7229374.27,2686182.808,708.885876,Red/White
17.02.14.L,7229344.957,2686182.808,708.849343,Yellow/Orange
17.02.15.A,7229668.625,2686200.808,709.2594,Yellow/Orange
17.02.15.B,7229639.312,2686200.808,709.237931,Yellow/White
17.02.15.C,7229609.999,2686200.808,709.216461,Yellow/White
17.02.15.D,7229580.687,2686200.808,709.194993,Yellow/White
17.02.15.E,7229551.374,2686200.808,709.173523,Yellow/White
17.02.15.F,7229522.061,2686200.808,709.152054,Yellow/White
17.02.15.G,7229494.182,2686200.808,709.131635,Green/White
17.02.15.H,7229462.208,2686200.808,709.108217,Yellow/White
17.02.15.I,7229432.895,2686200.808,709.086747,Yellow/White
17.02.15.J,7229403.582,2686200.808,709.065278,Yellow/White
17.02.15.K,7229374.27,2686200.808,709.043809,Red/White
17.02.15.L,7229344.957,2686200.808,709.02234,Yellow/Orange
17.02.16.A,7229668.625,2686218.808,709.355,Yellow/Orange
17.02.16.B,7229639.312,2686218.808,709.344161,Yellow/White
17.02.16.C,7229609.999,2686218.808,709.333322,Yellow/White
17.02.16.D,7229580.687,2686218.808,709.322483,Yellow/White
17.02.16.E,7229551.374,2686218.808,709.311644,Yellow/White
17.02.16.F,7229522.061,2686218.808,709.300805,Yellow/White
17.02.16.G,7229494.182,2686218.808,709.290496,Green/White
17.02.16.H,7229462.208,2686218.808,709.278673,Yellow/White
17.02.16.I,7229432.895,2686218.808,709.267834,Yellow/White
17.02.16.J,7229403.582,2686218.808,709.256995,Yellow/White
17.02.16.K,7229374.27,2686218.808,709.246156,Red/White
17.02.16.L,7229344.957,2686218.808,709.235317,Yellow/Orange
17.02.17.A,7229668.625,2686236.808,709.5298,Yellow/Orange
17.02.17.B,7229639.312,2686236.808,709.522509,Yellow/White
17.02.17.C,7229609.999,2686236.808,709.515218,Yellow/White
17.02.17.D,7229580.687,2686236.808,709.507928,Yellow/White
17.02.17.E,7229551.374,2686236.808,709.500638,Yellow/White
17.02.17.F,7229522.061,2686236.808,709.493347,Yellow/White
17.02.17.G,7229494.182,2686236.808,709.486413,Blue/White
17.02.17.H,7229462.208,2686236.808,709.478461,Yellow/White
17.02.17.I,7229432.895,2686236.808,709.47117,Yellow/White
17.02.17.J,7229403.582,2686236.808,709.463879,Yellow/White
17.02.17.K,7229374.27,2686236.808,709.456589,Red/White
17.02.17.L,7229344.957,2686236.808,709.449298,Yellow/Orange
17.02.18.A,7229668.625,2686254.808,709.63815,Yellow/Orange
17.02.18.B,7229639.312,2686254.808,709.641243,Yellow/White
17.02.18.C,7229609.999,2686254.808,709.644335,Yellow/White
17.02.18.D,7229580.687,2686254.808,709.647428,Yellow/White
17.02.18.E,7229551.374,2686254.808,709.650521,Yellow/White
17.02.18.F,7229522.061,2686254.808,709.653614,Yellow/White
17.02.18.G,7229494.182,2686254.808,709.656555,Blue/White
17.02.18.H,7229462.208,2686254.808,709.659929,Yellow/White
17.02.18.I,7229432.895,2686254.808,709.663021,Yellow/White
17.02.18.J,7229403.582,2686254.808,709.666114,Yellow/White
17.02.18.K,7229374.27,2686254.808,709.669207,Red/White
17.02.18.L,7229344.957,2686254.808,709.6723,Yellow/Orange
17.02.19.A,7229668.625,2686272.808,709.641036,Yellow/Orange
17.02.19.B,7229639.312,2686272.808,709.662587,Yellow/White
17.02.19.C,7229609.999,2686272.808,709.684139,Yellow/White
17.02.19.D,7229580.687,2686272.808,709.705689,Yellow/White
17.02.19.E,7229551.374,2686272.808,709.72724,Yellow/White
17.02.19.F,7229522.061,2686272.808,709.748791,Yellow/White
17.02.19.G,7229494.182,2686272.808,709.769288,Blue/White
17.02.19.H,7229462.208,2686272.808,709.792796,Yellow/White
17.02.19.I,7229432.895,2686272.808,709.814347,Yellow/White
17.02.19.J,7229403.582,2686272.808,709.835898,Yellow/White
17.02.19.K,7229374.27,2686272.808,709.857449,Red/White
17.02.19.L,7229344.957,2686272.808,709.879,Yellow/Orange
17.02.20.A,7229668.625,2686290.808,709.735171,Yellow/Orange
17.02.20.B,7229639.312,2686290.808,709.767424,Yellow/White
17.02.20.C,7229609.999,2686290.808,709.799676,Yellow/White
17.02.20.D,7229580.687,2686290.808,709.831928,Yellow/White
17.02.20.E,7229551.374,2686290.808,709.864181,Yellow/White
17.02.20.F,7229522.061,2686290.808,709.896434,Yellow/White
17.02.20.G,7229494.182,2686290.808,709.927109,Blue/White
17.02.20.H,7229462.208,2686290.808,709.96229,Yellow/White
17.02.20.I,7229432.895,2686290.808,709.994542,Yellow/White
17.02.20.J,7229403.582,2686290.808,710.026795,Yellow/White
17.02.20.K,7229374.27,2686290.808,710.059047,Red/White
17.02.20.L,7229344.957,2686290.808,710.0913,Yellow/Orange
17.02.21.A,7229668.625,2686308.808,709.819964,Yellow/Orange
17.02.21.B,7229639.312,2686308.808,709.857516,Yellow/White
17.02.21.C,7229609.999,2686308.808,709.895067,Yellow/White
17.02.21.D,7229580.687,2686308.808,709.932617,Yellow/White
17.02.21.E,7229551.374,2686308.808,709.970169,Yellow/White
17.02.21.F,7229522.061,2686308.808,710.00772,Yellow/White
17.02.21.G,7229494.182,2686308.808,710.043435,Blue/White
17.02.21.H,7229462.208,2686308.808,710.084395,Yellow/White
17.02.21.I,7229432.895,2686308.808,710.121947,Yellow/White
17.02.21.J,7229403.582,2686308.808,710.159499,Yellow/White
17.02.21.K,7229374.27,2686308.808,710.197049,Yellow/White
17.02.21.L,7229344.957,2686308.808,710.2346,Yellow/Orange
17.02.22.A,7229668.625,2686326.808,709.844698,Yellow/Orange
17.02.22.B,7229639.312,2686326.808,709.88002,Yellow/White
17.02.22.C,7229609.999,2686326.808,709.915342,Yellow/White
17.02.22.D,7229580.687,2686326.808,709.950662,Yellow/White
17.02.22.E,7229551.374,2686326.808,709.985984,Yellow/White
17.02.22.F,7229522.061,2686326.808,710.021306,Yellow/White
17.02.22.G,7229494.182,2686326.808,710.0549,Blue/White
17.02.22.H,7229462.208,2686326.808,710.093428,Yellow/White
17.02.22.I,7229432.895,2686326.808,710.12875,Yellow/White
17.02.22.J,7229403.582,2686326.808,710.164072,Yellow/White
17.02.22.K,7229374.27,2686326.808,710.199393,Yellow/White
17.02.22.L,7229344.957,2686326.808,710.234715,Yellow/Orange
17.02.23.A,7229668.625,2686344.808,710.0333,Yellow/Orange
17.02.23.B,7229639.312,2686344.808,710.05967,Yellow/White
17.02.23.C,7229609.999,2686344.808,710.08604,Yellow/White
17.02.23.D,7229580.687,2686344.808,710.112409,Yellow/White
17.02.23.E,7229551.374,2686344.808,710.138779,Yellow/White
17.02.23.F,7229522.061,2686344.808,710.165149,Yellow/White
17.02.23.G,7229494.182,2686344.808,710.190229,Green/White
17.02.23.H,7229462.208,2686344.808,710.218993,Yellow/White
17.02.23.I,7229432.895,2686344.808,710.245363,Yellow/White
17.02.23.J,7229403.582,2686344.808,710.271732,Yellow/White
17.02.23.K,7229374.27,2686344.808,710.298102,Yellow/White
17.02.23.L,7229344.957,2686344.808,710.324471,Yellow/Orange
17.02.24.A,7229668.625,2686362.808,709.971948,Yellow/Orange
17.02.24.B,7229639.312,2686362.808,710.004701,Yellow/White
17.02.24.C,7229609.999,2686362.808,710.037455,Yellow/White
17.02.24.D,7229580.687,2686362.808,710.070207,Yellow/White
17.02.24.E,7229551.374,2686362.808,710.102961,Yellow/White
17.02.24.F,7229522.061,2686362.808,710.135715,Yellow/White
17.02.24.G,7229494.182,2686362.808,710.166866,Blue/White
17.02.24.H,7229462.208,2686362.808,710.202593,Yellow/White
17.02.24.I,7229432.895,2686362.808,710.235347,Yellow/White
17.02.24.J,7229403.582,2686362.808,710.2681,Yellow/White
17.02.24.K,7229374.27,2686362.808,710.300853,Yellow/White
17.02.24.L,7229344.957,2686362.808,710.333606,Yellow/Orange
17.02.25.A,7229668.625,2686380.808,710.167394,Yellow/Orange
17.02.25.B,7229639.312,2686380.808,710.182518,Yellow/White
17.02.25.C,7229609.999,2686380.808,710.197643,Yellow/White
17.02.25.D,7229580.687,2686380.808,710.212767,Yellow/White
17.02.25.E,7229551.374,2686380.808,710.227891,Yellow/White
17.02.25.F,7229522.061,2686380.808,710.243015,Yellow/White
17.02.25.G,7229494.182,2686380.808,710.2574,Blue/White
17.02.25.H,7229462.208,2686380.808,710.273897,Yellow/White
17.02.25.I,7229432.895,2686380.808,710.289022,Yellow/White
17.02.25.J,7229403.582,2686380.808,710.304146,Yellow/White
17.02.25.K,7229374.27,2686380.808,710.31927,Yellow/White
17.02.25.L,7229344.957,2686380.808,710.334394,Yellow/Orange
17.02.26.A,7229668.625,2686398.808,710.301542,Yellow/Orange
17.02.26.B,7229639.312,2686398.808,710.3206,Yellow/White
17.02.26.C,7229609.999,2686398.808,710.339658,Yellow/White
17.02.26.D,7229580.687,2686398.808,710.358714,Yellow/White
17.02.26.E,7229551.374,2686398.808,710.377772,Yellow/White
17.02.26.F,7229522.061,2686398.808,710.39683,Yellow/White
17.02.26.G,7229494.182,2686398.808,710.414955,Green/White
17.02.26.H,7229462.208,2686398.808,710.435742,Yellow/White
17.02.26.I,7229432.895,2686398.808,710.4548,Yellow/White
17.02.26.J,7229403.582,2686398.808,710.473857,Yellow/White
17.02.26.K,7229374.27,2686398.808,710.492914,Yellow/White
17.02.26.L,7229344.957,2686398.808,710.511972,Yellow/Orange
17.02.27.A,7229668.625,2686416.808,710.311,Yellow/Orange
17.02.27.B,7229639.312,2686416.808,710.332956,Yellow/White
17.02.27.C,7229609.999,2686416.808,710.354912,Yellow/White
17.02.27.D,7229580.687,2686416.808,710.376867,Yellow/White
17.02.27.E,7229551.374,2686416.808,710.398823,Yellow/White
17.02.27.F,7229522.061,2686416.808,710.420779,Yellow/White
17.02.27.G,7229494.182,2686416.808,710.441661,Green/White
17.02.27.H,7229462.208,2686416.808,710.46561,Yellow/White
17.02.27.I,7229432.895,2686416.808,710.487566,Yellow/White
17.02.27.J,7229403.582,2686416.808,710.509522,Yellow/White
17.02.27.K,7229374.27,2686416.808,710.531477,Yellow/White
17.02.27.L,7229344.957,2686416.808,710.553433,Yellow/Orange
17.02.28.A,7229668.625,2686434.808,710.31557,Yellow/Orange
17.02.28.B,7229639.312,2686434.808,710.328549,Yellow/White
17.02.28.C,7229609.999,2686434.808,710.341528,Yellow/White
17.02.28.D,7229580.687,2686434.808,710.354506,Yellow/White
17.02.28.E,7229551.374,2686434.808,710.367485,Yellow/White
17.02.28.F,7229522.061,2686434.808,710.380463,Yellow/White
17.02.28.G,7229494.182,2686434.808,710.392807,Blue/White
17.02.28.H,7229462.208,2686434.808,710.406964,Yellow/White
17.02.28.I,7229432.895,2686434.808,710.419943,Yellow/White
17.02.28.J,7229403.582,2686434.808,710.432921,Yellow/White
17.02.28.K,7229374.27,2686434.808,710.4459,Yellow/White
17.02.28.L,7229344.957,2686434.808,710.458878,Yellow/Orange
17.02.29.A,7229668.625,2686452.808,710.298519,Yellow/Orange
17.02.29.B,7229639.312,2686452.808,710.318395,Yellow/White
17.02.29.C,7229609.999,2686452.808,710.33827,Yellow/White
17.02.29.D,7229580.687,2686452.808,710.358145,Yellow/White
17.02.29.E,7229551.374,2686452.808,710.378021,Yellow/White
17.02.29.F,7229522.061,2686452.808,710.397897,Yellow/White
17.02.29.G,7229494.182,2686452.808,710.4168,Blue/White
17.02.29.H,7229462.208,2686452.808,710.438481,Yellow/White
17.02.29.I,7229432.895,2686452.808,710.458356,Yellow/White
17.02.29.J,7229403.582,2686452.808,710.478232,Yellow/White
17.02.29.K,7229374.27,2686452.808,710.498107,Yellow/White
17.02.29.L,7229344.957,2686452.808,710.517983,Yellow/Orange
17.02.30.A,7229668.625,2686470.808,710.3278,Yellow/Orange
17.02.30.B,7229639.312,2686470.808,710.367996,Yellow/White
17.02.30.C,7229609.999,2686470.808,710.408192,Yellow/White
17.02.30.D,7229580.687,2686470.808,710.448386,Yellow/White
17.02.30.E,7229551.374,2686470.808,710.488582,Yellow/White
17.02.30.F,7229522.061,2686470.808,710.528778,Yellow/White
17.02.30.G,7229494.182,2686470.808,710.567007,Blue/White
17.02.30.H,7229462.208,2686470.808,710.610852,Yellow/White
17.02.30.I,7229432.895,2686470.808,710.651047,Yellow/White
17.02.30.J,7229403.582,2686470.808,710.691243,Yellow/White
17.02.30.K,7229374.27,2686470.808,710.731437,Yellow/White
17.02.30.L,7229344.957,2686470.808,710.771633,Yellow/Orange
17.02.31.A,7229668.625,2686488.808,710.256513,Yellow/Orange
17.02.31.B,7229639.312,2686488.808,710.302957,Yellow/White
17.02.31.C,7229609.999,2686488.808,710.3494,Yellow/White
17.02.31.D,7229580.687,2686488.808,710.395842,Yellow/White
17.02.31.E,7229551.374,2686488.808,710.442285,Yellow/White
17.02.31.F,7229522.061,2686488.808,710.488729,Yellow/White
17.02.31.G,7229494.182,2686488.808,710.5329,Blue/White
17.02.31.H,7229462.208,2686488.808,710.58356,Yellow/White
17.02.31.I,7229432.895,2686488.808,710.630003,Yellow/White
17.02.31.J,7229403.582,2686488.808,710.676447,Yellow/White
17.02.31.K,7229374.27,2686488.808,710.722889,Yellow/White
17.02.31.L,7229344.957,2686488.808,710.769332,Yellow/Orange
17.02.32.A,7229668.625,2686506.808,710.252045,Yellow/Orange
17.02.32.B,7229639.312,2686506.808,710.30754,Yellow/White
17.02.32.C,7229609.999,2686506.808,710.363035,Yellow/White
17.02.32.D,7229580.687,2686506.808,710.418529,Yellow/White
17.02.32.E,7229551.374,2686506.808,710.474024,Yellow/White
17.02.32.F,7229522.061,2686506.808,710.529519,Yellow/White
17.02.32.G,7229494.182,2686506.808,710.5823,Blue/White
17.02.32.H,7229462.208,2686506.808,710.642833,Yellow/White
17.02.32.I,7229432.895,2686506.808,710.698329,Yellow/White
17.02.32.J,7229403.582,2686506.808,710.753824,Yellow/White
17.02.32.K,7229374.27,2686506.808,710.809317,Yellow/White
17.02.32.L,7229344.957,2686506.808,710.864813,Yellow/Orange
17.02.33.A,7229668.625,2686524.808,710.240018,Yellow/Orange
17.02.33.B,7229639.312,2686524.808,710.305449,Yellow/White
17.02.33.C,7229609.999,2686524.808,710.37088,Yellow/White
17.02.33.D,7229580.687,2686524.808,710.436308,Yellow/White
17.02.33.E,7229551.374,2686524.808,710.501739,Yellow/White
17.02.33.F,7229522.061,2686524.808,710.56717,Yellow/White
17.02.33.G,7229494.182,2686524.808,710.6294,Blue/White
17.02.33.H,7229462.208,2686524.808,710.70077,Yellow/White
17.02.33.I,7229432.895,2686524.808,710.766201,Yellow/White
17.02.33.J,7229403.582,2686524.808,710.831632,Yellow/White
17.02.33.K,7229374.27,2686524.808,710.89706,Yellow/White
17.02.33.L,7229344.957,2686524.808,710.962491,Yellow/Orange
17.02.34.A,7229668.625,2686542.808,710.1541,Yellow/Orange
17.02.34.B,7229639.312,2686542.808,710.217563,Yellow/White
17.02.34.C,7229609.999,2686542.808,710.281026,Yellow/White
17.02.34.D,7229580.687,2686542.808,710.344487,Yellow/White
17.02.34.E,7229551.374,2686542.808,710.40795,Yellow/White
17.02.34.F,7229522.061,2686542.808,710.471413,Yellow/White
17.02.34.G,7229494.182,2686542.808,710.531771,Blue/White
17.02.34.H,7229462.208,2686542.808,710.600995,Yellow/White
17.02.34.I,7229432.895,2686542.808,710.664458,Yellow/White
17.02.34.J,7229403.582,2686542.808,710.727921,Yellow/White
17.02.34.K,7229374.27,2686542.808,710.791382,Yellow/White
17.02.34.L,7229344.957,2686542.808,710.854844,Yellow/Orange
17.02.35.A,7229668.625,2686560.808,709.974231,Yellow/Orange
17.02.35.B,7229639.312,2686560.808,710.0481,Yellow/White
17.02.35.C,7229609.999,2686560.808,710.121969,Yellow/White
17.02.35.D,7229580.687,2686560.808,710.195836,Yellow/White
17.02.35.E,7229551.374,2686560.808,710.269705,Yellow/White
17.02.35.F,7229522.061,2686560.808,710.343574,Yellow/White
17.02.35.G,7229494.182,2686560.808,710.413829,Black/White
17.02.35.H,7229462.208,2686560.808,710.494404,Yellow/White
17.02.35.I,7229432.895,2686560.808,710.568273,Yellow/White
17.02.35.J,7229403.582,2686560.808,710.642142,Yellow/White
17.02.35.K,7229374.27,2686560.808,710.716008,Yellow/White
17.02.35.L,7229344.957,2686560.808,710.789877,Yellow/Orange
17.03.01.A,7229312.163,2685948.808,705.69152,Pink/Orange
17.03.01.B,7229282.85,2685948.808,705.432388,Pink/Orange
17.03.01.C,7229253.538,2685948.808,705.173265,Pink/White
17.03.01.D,7229224.225,2685948.808,704.914133,Pink/White
17.03.01.E,7229194.912,2685948.808,704.655,Pink/White
17.03.01.F,7229162.938,2685948.808,704.372345,Black/White
17.03.01.G,7229135.059,2685948.808,704.125889,Pink/White
17.03.01.H,7229105.746,2685948.808,703.866757,Pink/White
17.03.01.I,7229076.433,2685948.808,703.607625,Pink/White
17.03.01.J,7229047.121,2685948.808,703.348502,Pink/White
17.03.01.K,7229017.808,2685948.808,703.08937,Pink/Orange
17.03.01.L,7228988.495,2685948.808,702.830237,Pink/Orange
17.03.02.A,7229312.163,2685966.808,705.895443,Pink/Orange
17.03.02.B,7229282.85,2685966.808,705.64138,Pink/Orange
17.03.02.C,7229253.538,2685966.808,705.387326,Pink/White
17.03.02.D,7229224.225,2685966.808,705.133263,Pink/White
17.03.02.E,7229194.912,2685966.808,704.8792,Pink/White
17.03.02.F,7229162.938,2685966.808,704.602074,Purple/White
17.03.02.G,7229135.059,2685966.808,704.36044,Pink/White
17.03.02.H,7229105.746,2685966.808,704.106377,Pink/White
17.03.02.I,7229076.433,2685966.808,703.852314,Pink/White
17.03.02.J,7229047.121,2685966.808,703.59826,Pink/White
17.03.02.K,7229017.808,2685966.808,703.344197,Pink/Orange
17.03.02.L,7228988.495,2685966.808,703.090134,Pink/Orange
17.03.03.A,7229312.163,2685984.808,705.772905,Yellow/Orange
17.03.03.B,7229282.85,2685984.808,705.49487,Yellow/White
17.03.03.C,7229253.538,2685984.808,705.216845,Yellow/White
17.03.03.D,7229224.225,2685984.808,704.938809,Yellow/White
17.03.03.E,7229194.912,2685984.808,704.660774,Yellow/White
17.03.03.F,7229162.938,2685984.808,704.357499,Green/White
17.03.03.G,7229135.059,2685984.808,704.093066,Yellow/White
17.03.03.H,7229105.746,2685984.808,703.815031,Yellow/White
17.03.03.I,7229076.433,2685984.808,703.536996,Yellow/White
17.03.03.J,7229047.121,2685984.808,703.25897,Yellow/White
17.03.03.K,7229017.808,2685984.808,702.980935,Yellow/White
