P,N,E,N,N
3730,2196051.934,6521754.516,0,Standard Array Pier
3731,2195885.62,6521734.986,0,Standard Array Pier
3732,2195950.165,6521734.986,0,Standard Array Pier
3733,2195983.914,6521734.986,0,Standard Array Pier
3734,2196081.545,6521754.516,0,Standard Array Pier
3735,2195851.872,6521734.986,0,Standard Array Pier
3736,2195818.123,6521734.986,0,Standard Array Pier
3737,2195883.527,6521656.863,0,Standard Array Pier
3738,2195948.072,6521656.863,0,Standard Array Pier
3739,2195981.82,6521656.863,0,Standard Array Pier
3740,2196079.451,6521676.394,0,Standard Array Pier
3741,2195849.778,6521656.863,0,Standard Array Pier
3742,2195816.03,6521656.863,0,Standard Array Pier
3743,2196015.568,6521656.863,0,Standard Array Pier
3744,2195815.507,6521637.333,0,Standard Array Pier
3745,2195883.003,6521637.333,0,Standard Array Pier
3746,2195947.548,6521637.333,0,Standard Array Pier
3747,2196049.317,6521656.863,0,Standard Array Pier
3748,2196078.928,6521656.863,0,Standard Array Pier
3749,2195849.255,6521637.333,0,Standard Array Pier
3750,2196016.615,6521695.925,0,Standard Array Pier
3751,2196050.364,6521695.925,0,Standard Array Pier
3752,2196079.975,6521695.925,0,Standard Array Pier
3753,2195884.573,6521695.925,0,Standard Array Pier
3754,2195949.118,6521695.925,0,Standard Array Pier
3755,2195982.867,6521695.925,0,Standard Array Pier
3756,2195850.302,6521676.394,0,Standard Array Pier
3757,2195982.343,6521676.394,0,Standard Array Pier
3758,2196016.092,6521676.394,0,Standard Array Pier
3759,2196049.84,6521676.394,0,Standard Array Pier
3760,2195816.553,6521676.394,0,Standard Array Pier
3761,2195884.05,6521676.394,0,Standard Array Pier
3762,2195948.595,6521676.394,0,Standard Array Pier
3763,2195977.11,6521481.087,0,Standard Array Pier
3764,2196010.858,6521481.087,0,Standard Array Pier
3765,2196044.606,6521481.087,0,Standard Array Pier
3766,2195811.32,6521481.087,0,Standard Array Pier
3767,2195878.816,6521481.087,0,Standard Array Pier
3768,2195943.361,6521481.087,0,Standard Array Pier
3769,2196074.218,6521481.087,0,Standard Array Pier
3770,2197036.824,6521481.087,0,Standard Array Pier
3771,2197101.369,6521481.087,0,Standard Array Pier
3772,2197135.117,6521481.087,0,Standard Array Pier
3773,2196939.716,6521481.087,0,Standard Array Pier
3774,2197003.075,6521481.087,0,Standard Array Pier
3775,2196969.327,6521481.087,0,Standard Array Pier
3776,2196074.741,6521500.618,0,Standard Array Pier
3777,2196940.239,6521500.618,0,Standard Array Pier
3778,2197003.599,6521500.618,0,Standard Array Pier
3779,2195977.633,6521500.618,0,Standard Array Pier
3780,2196011.381,6521500.618,0,Standard Array Pier
3781,2196045.13,6521500.618,0,Standard Array Pier
3782,2196969.85,6521500.618,0,Standard Array Pier
3783,2197169.389,6521500.618,0,Standard Array Pier
3784,2197203.137,6521500.618,0,Standard Array Pier
3785,2195845.068,6521481.087,0,Standard Array Pier
3786,2197037.347,6521500.618,0,Standard Array Pier
3787,2197101.892,6521500.618,0,Standard Array Pier
3788,2197135.641,6521500.618,0,Standard Array Pier
3789,2197168.342,6521461.557,0,Standard Array Pier
3790,2197202.091,6521461.557,0,Standard Array Pier
3791,2195844.021,6521442.026,0,Standard Array Pier
3792,2197036.3,6521461.557,0,Standard Array Pier
3793,2197100.845,6521461.557,0,Standard Array Pier
3794,2197134.594,6521461.557,0,Standard Array Pier
3795,2195810.273,6521442.026,0,Standard Array Pier
3796,2196009.811,6521442.026,0,Standard Array Pier
3797,2196043.56,6521442.026,0,Standard Array Pier
3798,2196073.171,6521442.026,0,Standard Array Pier
3799,2195877.77,6521442.026,0,Standard Array Pier
3800,2195942.315,6521442.026,0,Standard Array Pier
3801,2195976.063,6521442.026,0,Standard Array Pier
3802,2195810.796,6521461.557,0,Standard Array Pier
3803,2195878.293,6521461.557,0,Standard Array Pier
3804,2195942.838,6521461.557,0,Standard Array Pier
3805,2197168.866,6521481.087,0,Standard Array Pier
3806,2197202.614,6521481.087,0,Standard Array Pier
3807,2195844.545,6521461.557,0,Standard Array Pier
3808,2195976.586,6521461.557,0,Standard Array Pier
3809,2196939.192,6521461.557,0,Standard Array Pier
3810,2197002.552,6521461.557,0,Standard Array Pier
3811,2196968.804,6521461.557,0,Standard Array Pier
3812,2196010.335,6521461.557,0,Standard Array Pier
3813,2196044.083,6521461.557,0,Standard Array Pier
3814,2196073.694,6521461.557,0,Standard Array Pier
3815,2195846.638,6521539.679,0,Standard Array Pier
3816,2195812.89,6521539.679,0,Standard Array Pier
3817,2195880.386,6521539.679,0,Standard Array Pier
3818,2197137.211,6521559.21,0,Standard Array Pier
